GridType, Algo, NBoat, Cost, AWD, NCharging, NCS, Time, BtPosFName, BPerm, SPath 
tri, xTSPRedGray-farthest_insertion, 11, 250942.274, 118814.21, 15, 25, 0.056, boatPos-0004.csv, B3-B7-B6-B4-B8-B5-B11-B2-B1-B10-B9, --BS1->7->9->B3--B3->16->B7--B7->13->B6--B6->13->B4--B4->13->B8->10--10->B5--B5->14->B11--B11->14->B2--B2->14->B1->11--11->6->4->B10--B10->4->5->B9--B9->BS1 
tri, xTSPGray-farthest_insertion, 11, 279608.308, 135216.293, 19, 25, 0.068, boatPos-0004.csv, B3-B7-B6-B4-B8-B5-B11-B2-B1-B10-B9, --BS1->7->9->B3--B3->16->B7--B7->16->13->B6--B6->13->B4--B4->13->10->B8--B8->10->B5--B5->14->B11--B11->14->B2--B2->14->11->B1--B1->11->6->4->B10--B10->4->5->B9--B9->5->BS1 
tri, xTSPRedGray-cheapest_insertion, 11, 272272.143, 151736.749, 15, 25, 0.065, boatPos-0004.csv, B10-B9-B1-B5-B2-B11-B4-B7-B3-B6-B8, --BS1->5->4->B10--B10->4->5->B9--B9->8->B1->11--11->14->B5--B5->14->B2--B2->14->B11--B11->17->B4->13--13->B7->16--16->B3--B3->9->B6->13--13->B8->10--10->BS1 
tri, xTSPGray-cheapest_insertion, 11, 341556.923, 158421.877, 22, 25, 0.048, boatPos-0004.csv, B8-B6-B3-B7-B4-B11-B2-B5-B1-B9-B10, --BS1->10->B8--B8->10->13->B6--B6->13->16->B3--B3->16->B7--B7->16->13->B4--B4->13->10->14->B11--B11->14->B2--B2->14->B5--B5->14->11->B1--B1->11->8->5->B9--B9->5->4->B10--B10->4->5->BS1 
tri, xTSPRedGray-arbitrary_insertion, 11, 261681.51, 138373.102, 14, 25, 0.063, boatPos-0004.csv, B9-B10-B1-B2-B5-B11-B4-B7-B3-B6-B8, --BS1->B9->5--5->4->B10--B10->4->8->B1->11--11->14->B2--B2->14->B5--B5->14->B11--B11->17->B4->13--13->B7->16--16->B3--B3->9->B6->13--13->B8->10--10->BS1 
tri, xTSPGray-arbitrary_insertion, 11, 295432.127, 146689.757, 20, 25, 0.049, boatPos-0004.csv, B6-B3-B7-B4-B8-B5-B11-B2-B1-B10-B9, --BS1->7->13->B6--B6->13->16->B3--B3->16->B7--B7->16->13->B4--B4->13->10->B8--B8->10->B5--B5->14->B11--B11->14->B2--B2->14->11->B1--B1->11->6->4->B10--B10->4->5->B9--B9->5->BS1 
tri, xTSPRedGray-nn, 11, 292936.886, 172382.406, 17, 25, 0.079, boatPos-0004.csv, B10-B7-B3-B6-B4-B8-B5-B2-B11-B1-B9, --BS1->5->4->B10--B10->4->8->10->13->B7->16--16->B3--B3->9->B6->13--13->B4--B4->13->B8->10--10->B5--B5->14->B2--B2->14->B11--B11->14->B1->11--11->8->B9->5--5->BS1 
tri, xTSPGray-nn, 11, 331924.012, 165823.491, 22, 25, 0.053, boatPos-0004.csv, B9-B10-B1-B2-B5-B11-B4-B8-B6-B7-B3, --BS1->5->B9--B9->5->4->B10--B10->4->6->11->B1--B1->11->14->B2--B2->14->B5--B5->14->B11--B11->14->10->13->B4--B4->13->10->B8--B8->10->13->B6--B6->13->16->B7--B7->16->B3--B3->9->7->BS1 
tri, xTSPRedGray-repetitive_nn, 11, 268620.139, 128143.92, 16, 25, 0.059, boatPos-0004.csv, B3-B7-B6-B4-B8-B11-B5-B2-B1-B10-B9, --BS1->7->9->B3--B3->16->B7--B7->13->B6--B6->13->B4--B4->13->B8->10--10->14->B11--B11->14->B5--B5->14->B2--B2->14->B1->11--11->6->4->B10--B10->4->5->B9--B9->BS1 
tri, xTSPGray-repetitive_nn, 11, 297286.173, 144546.003, 20, 25, 0.052, boatPos-0004.csv, B3-B7-B6-B4-B8-B11-B5-B2-B1-B10-B9, --BS1->7->9->B3--B3->16->B7--B7->16->13->B6--B6->13->B4--B4->13->10->B8--B8->10->14->B11--B11->14->B5--B5->14->B2--B2->14->11->B1--B1->11->6->4->B10--B10->4->5->B9--B9->5->BS1 
