"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"two_opt","1","31.74","21559.684","10742.415",NA,"92.25"
"two_opt","2","31.899","21613.798","10783.722",NA,"93.3"
"two_opt","3","31.137","21638.282","10925.282",NA,"92.15"
"two_opt","4","31.433","21778.414","10954.165",NA,"91.8"
"two_opt","5","31.58","21532.141","10737.127",NA,"92.05"
"two_opt","6","31.182","21793.117","10960.695",NA,"91.3"
"two_opt","7","31.311","21651.088","10904.833",NA,"92.2"
"two_opt","8","31.714","21519.526","10818.126",NA,"92.2"
"two_opt","9","31.662","21395.187","10666.741",NA,"92.75"
"two_opt","10","31.026","21570.63","10867.581",NA,"91.15"
"two_opt","11","33.675","21357.296","10685.672",NA,"92.8"
"two_opt","12","31.654","21354.281","10711.302",NA,"92.65"
"two_opt","13","31.015","21491.784","10770.274",NA,"91.65"
"two_opt","14","30.291","21531.81","10765.57",NA,"91.5"
"two_opt","15","30.264","21659.395","10844.638",NA,"91.8"
"two_opt","16","30.41","21712.658","10918.758",NA,"91.65"
"two_opt","17","29.428","21726.769","10889.881",NA,"91.95"
"two_opt","18","30.76","21511.167","10770.672",NA,"91.4"
"two_opt","19","31.523","21413.921","10733.184",NA,"91.75"
"two_opt","20","30.436","21619.016","10753.465",NA,"91"
"two_opt","AVG","31.207","21571.498","10810.205",NA,"91.965"
"two_opt","STD","0.865","130.48","91.494",NA,"0.593"
