"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.306","24528.607","11357.578",NA,"91.3"
"nn","2","0.211","24143.997","11057.448",NA,"90.9"
"nn","3","0.204","24302.889","13050.77",NA,"90.5"
"nn","4","0.117","24481.874","11411.507",NA,"90.8"
"nn","5","0.111","24196.955","12520.703",NA,"90.85"
"nn","6","0.213","24141.134","12462.042",NA,"91.3"
"nn","7","0.119","23858.46","11528.859",NA,"91.55"
"nn","8","0.202","23799.44","12570.268",NA,"91.8"
"nn","9","0.21","24206.582","11452.206",NA,"91.05"
"nn","10","0.118","24649.403","11902.552",NA,"90.55"
"nn","11","0.211","24406.115","11711.402",NA,"90.9"
"nn","12","0.207","24188.621","11886.928",NA,"91.05"
"nn","13","0.118","24242.057","12162.61",NA,"90.55"
"nn","14","0.203","24271.82","11987.023",NA,"90.7"
"nn","15","0.115","24167.202","12770.549",NA,"91.3"
"nn","16","0.201","24832.353","12938.413",NA,"90.65"
"nn","17","0.123","23870.336","12139.349",NA,"91.45"
"nn","18","0.209","24442.49","11035.955",NA,"91.35"
"nn","19","0.121","24377.844","11657.68",NA,"91.15"
"nn","20","0.21","24188.512","12536.069",NA,"91.5"
"nn","AVG","0.176","24264.835","12006.996",NA,"91.06"
"nn","STD","0.054","256.432","608.81",NA,"0.376"
