"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.466","36691.021","17997.16",NA,"95.067"
"nn","2","0.374","36813.69","18265.457",NA,"95.6"
"nn","3","0.352","37464.164","19337.671",NA,"95.133"
"nn","4","0.365","37103.793","18013.28",NA,"95.5"
"nn","5","0.379","36407.395","17196.287",NA,"95.167"
"nn","6","0.375","35873.57","17877.94",NA,"95.6"
"nn","7","0.376","36148.402","18723.116",NA,"95.267"
"nn","8","0.373","37030.343","18982.147",NA,"95.433"
"nn","9","0.374","36386.454","18574.694",NA,"95.333"
"nn","10","0.381","36946.009","19554.424",NA,"95.333"
"nn","11","0.379","36127.683","17603.986",NA,"95.433"
"nn","12","0.284","36456.228","18511.509",NA,"95.333"
"nn","13","0.372","36842.717","17886.436",NA,"95.567"
"nn","14","0.291","36617.085","18317.177",NA,"95.267"
"nn","15","0.358","37181.719","17510.474",NA,"95.5"
"nn","16","0.278","36679.396","18724.172",NA,"95.367"
"nn","17","0.271","36969.282","18018.959",NA,"95.333"
"nn","18","0.382","36267.238","18137.048",NA,"95.4"
"nn","19","0.365","36548.424","19104.043",NA,"95.167"
"nn","20","0.263","36622.298","17870.242",NA,"95.367"
"nn","AVG","0.353","36658.846","18310.311",NA,"95.358"
"nn","STD","0.05","397.522","623.232",NA,"0.153"
