"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"farthest_insertion","1","22.884","21687.073","10827.799",NA,"97.4"
"farthest_insertion","2","21.064","21712.555","10866.48",NA,"97.5"
"farthest_insertion","3","20.678","21826.75","10979.158",NA,"97.15"
"farthest_insertion","4","20.823","21718.86","10826.021",NA,"97.3"
"farthest_insertion","5","20.822","21737.134","10853.745",NA,"97.65"
"farthest_insertion","6","21.043","21688.834","10831.276",NA,"97.85"
"farthest_insertion","7","20.936","21726.115","10898.334",NA,"97.55"
"farthest_insertion","8","20.69","21721.418","10843.04",NA,"97.75"
"farthest_insertion","9","20.588","21586.799","10799.935",NA,"97.5"
"farthest_insertion","10","21.022","21713.188","10887.269",NA,"97.15"
"farthest_insertion","11","20.984","21727.159","10839.249",NA,"97.85"
"farthest_insertion","12","20.789","21718.756","10905.448",NA,"97.4"
"farthest_insertion","13","21.045","21593.204","10788.051",NA,"97.65"
"farthest_insertion","14","21.109","21688.252","10855.988",NA,"97.4"
"farthest_insertion","15","21.123","21671.566","10832.264",NA,"97.75"
"farthest_insertion","16","20.785","21614.428","10821.81",NA,"97.75"
"farthest_insertion","17","20.888","21639.051","10790.932",NA,"97.5"
"farthest_insertion","18","22.333","21674.946","10845.889",NA,"97.25"
"farthest_insertion","19","21.014","21684.979","10901.064",NA,"97.6"
"farthest_insertion","20","21.123","21785.157","10944.476",NA,"97.15"
"farthest_insertion","AVG","21.087","21695.811","10856.911",NA,"97.505"
"farthest_insertion","STD","0.551","58.315","49.695",NA,"0.228"
