"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.307","24396.409","11975.014",NA,"95"
"nn","2","0.208","23934.653","11618.075",NA,"94.8"
"nn","3","0.207","24502.831","12492.056",NA,"95.35"
"nn","4","0.114","24748.791","12467.801",NA,"95.05"
"nn","5","0.118","23953.752","12429.098",NA,"95.4"
"nn","6","0.217","24506.707","12404.712",NA,"95.15"
"nn","7","0.13","24749.261","13137.656",NA,"95.1"
"nn","8","0.21","24506.317","12860.087",NA,"95.05"
"nn","9","0.118","24563.294","12812.888",NA,"95.05"
"nn","10","0.203","24576.541","11991.184",NA,"94.7"
"nn","11","0.117","24409.717","11597.439",NA,"95.05"
"nn","12","0.203","24663.711","12725.671",NA,"94.9"
"nn","13","0.123","24595.25","12891.697",NA,"94.5"
"nn","14","0.21","24701.904","12038.294",NA,"94.8"
"nn","15","0.206","24695.903","12460.88",NA,"95.2"
"nn","16","0.209","24580.905","12092.961",NA,"94.85"
"nn","17","0.209","24907.23","12961.68",NA,"94.4"
"nn","18","0.123","24454.856","12799.94",NA,"95.15"
"nn","19","0.207","24413.833","11635.06",NA,"94.85"
"nn","20","0.209","24543.821","12375.042",NA,"95.2"
"nn","AVG","0.182","24520.284","12388.362",NA,"94.978"
"nn","STD","0.052","236.357","468.964",NA,"0.257"
