"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"two_opt","1","1.956","10878.556","5356.808",NA,"92.4"
"two_opt","2","1.985","10880.732","5339.194",NA,"91.6"
"two_opt","3","2.114","10676.752","5355.657",NA,"92.2"
"two_opt","4","2.128","11035.083","5668.63",NA,"91.7"
"two_opt","5","1.969","11008.534","5656.099",NA,"91.8"
"two_opt","6","1.957","10692.742","5352.483",NA,"91.8"
"two_opt","7","2.061","10807.559","5406.381",NA,"93.5"
"two_opt","8","2.048","10777.579","5400.788",NA,"90.9"
"two_opt","9","2.005","10826.661","5373.986",NA,"92.3"
"two_opt","10","2.266","10989.907","5330.325",NA,"91.6"
"two_opt","11","2.018","10750.732","5375.636",NA,"91.3"
"two_opt","12","2.035","10705.234","5362.739",NA,"91.7"
"two_opt","13","1.988","10865.582","5333.782",NA,"92.9"
"two_opt","14","2.172","10857.872","5395.651",NA,"91.4"
"two_opt","15","2.094","10945.281","5418.597",NA,"92.1"
"two_opt","16","2.122","11021.831","5608.157",NA,"93.2"
"two_opt","17","2","11149.313","5780.252",NA,"90.9"
"two_opt","18","2.173","10834.863","5481.467",NA,"91.9"
"two_opt","19","1.995","10879.727","5499.576",NA,"91.5"
"two_opt","20","2.175","10694.81","5311.086",NA,"92.9"
"two_opt","AVG","2.063","10863.968","5440.365",NA,"91.98"
"two_opt","STD","0.088","130.518","133.699",NA,"0.715"
