"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.561","31725.669","15843.037",NA,"99.667"
"nn","2","0.38","32001.113","16463.756",NA,"99.7"
"nn","3","0.388","32397.052","16914.828",NA,"99.8"
"nn","4","0.368","32197.907","16591.286",NA,"99.6"
"nn","5","0.396","32097.771","15950.357",NA,"99.8"
"nn","6","0.384","31687.586","16181.019",NA,"99.667"
"nn","7","0.388","31680.453","16116.927",NA,"99.7"
"nn","8","0.289","32416.925","15702.423",NA,"99.7"
"nn","9","0.388","31703.363","16270.672",NA,"99.767"
"nn","10","0.385","31940.005","16501.338",NA,"99.567"
"nn","11","0.371","31624.586","16101.714",NA,"99.8"
"nn","12","0.381","31576.001","15628.827",NA,"99.633"
"nn","13","0.393","32060.494","16197.791",NA,"99.4"
"nn","14","0.394","31660.489","15508.257",NA,"99.733"
"nn","15","0.374","31656.05","16197.425",NA,"99.567"
"nn","16","0.388","31634.452","15946.108",NA,"99.7"
"nn","17","0.384","31710.766","16206.564",NA,"99.767"
"nn","18","0.381","31717.294","16278.37",NA,"99.667"
"nn","19","0.39","31662.175","15440.526",NA,"99.733"
"nn","20","0.379","31640.495","16016.044",NA,"99.567"
"nn","AVG","0.388","31839.532","16102.863",NA,"99.677"
"nn","STD","0.046","264.603","368.57",NA,"0.1"
