"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.129","12770.925","6867.8",NA,"92.7"
"nn","2","0.134","12103.326","6387.003",NA,"92.9"
"nn","3","0.035","12340.537","6171.774",NA,"92.9"
"nn","4","0.038","12127.915","6224.018",NA,"92.5"
"nn","5","0.034","12543.806","5805.951",NA,"92.8"
"nn","6","0.125","12347.63","5719.562",NA,"92.8"
"nn","7","0.034","12368.215","6168.685",NA,"93.2"
"nn","8","0.034","12252.398","6442.913",NA,"92.9"
"nn","9","0.037","12102.657","6418.262",NA,"92.8"
"nn","10","0.132","12125.079","6414.005",NA,"93.9"
"nn","11","0.032","12231.337","6493.506",NA,"93.2"
"nn","12","0.033","11819.245","6139.549",NA,"93.9"
"nn","13","0.127","12430.354","6472.945",NA,"93"
"nn","14","0.034","12433.088","6542.433",NA,"92.9"
"nn","15","0.034","12405.419","6000.019",NA,"92.6"
"nn","16","0.034","12288.472","5728.868",NA,"92.5"
"nn","17","0.035","11977.146","5865.895",NA,"93.4"
"nn","18","0.034","12450.337","6110.531",NA,"93"
"nn","19","0.128","12217.701","6053.482",NA,"94.3"
"nn","20","0.035","12274.947","6044.705",NA,"92.9"
"nn","AVG","0.063","12280.527","6203.595",NA,"93.055"
"nn","STD","0.045","210.053","301.775",NA,"0.482"
