"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"farthest_insertion","1","3.349","10485.786","5261.837",NA,"99.6"
"farthest_insertion","2","3.267","10478.136","5250.807",NA,"99.6"
"farthest_insertion","3","3.118","10462.858","5231.207",NA,"99.8"
"farthest_insertion","4","3.1","10554.579","5276.257",NA,"98.8"
"farthest_insertion","5","3.035","10478.144","5252.265",NA,"99.6"
"farthest_insertion","6","3.062","10523.987","5267.96",NA,"99"
"farthest_insertion","7","3.047","10478.127","5240.195",NA,"99.7"
"farthest_insertion","8","3.057","10462.863","5235.695",NA,"99.7"
"farthest_insertion","9","2.97","10485.793","5247.98",NA,"99.6"
"farthest_insertion","10","2.944","10523.985","5268.592",NA,"98.9"
"farthest_insertion","11","2.991","10503.853","5265.534",NA,"99.4"
"farthest_insertion","12","3.03","10508.699","5251.506",NA,"99.4"
"farthest_insertion","13","3.01","10501.065","5261.508",NA,"99.2"
"farthest_insertion","14","3.125","10447.579","5226.624",NA,"100"
"farthest_insertion","15","3.068","10508.707","5263.23",NA,"99.4"
"farthest_insertion","16","3.065","10485.793","5252.336",NA,"99.5"
"farthest_insertion","17","3.088","10480.93","5245.528",NA,"99.5"
"farthest_insertion","18","3.027","10493.42","5255.559",NA,"99.5"
"farthest_insertion","19","3.034","10531.606","5274.901",NA,"99"
"farthest_insertion","20","3.049","10501.06","5254.328",NA,"99.6"
"farthest_insertion","AVG","3.072","10494.849","5254.192",NA,"99.44"
"farthest_insertion","STD","0.093","25.874","13.77",NA,"0.314"
