"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.13","12885.979","6363.406",NA,"91.2"
"nn","2","0.134","13153.01","6777.405",NA,"90.1"
"nn","3","0.035","12768.904","6538.147",NA,"91"
"nn","4","0.039","13336.038","6034.514",NA,"91.2"
"nn","5","0.033","13102.662","6857.333",NA,"91"
"nn","6","0.124","12901.158","6617.18",NA,"91.8"
"nn","7","0.037","13124.969","6959.034",NA,"91.9"
"nn","8","0.04","13447.332","6999.949",NA,"90.2"
"nn","9","0.037","13082.178","6879.483",NA,"91.3"
"nn","10","0.035","13728.38","6213.512",NA,"90.3"
"nn","11","0.124","13542.526","6341.587",NA,"90.9"
"nn","12","0.031","13263.184","6669.089",NA,"91.7"
"nn","13","0.127","13234.672","6048.709",NA,"90.7"
"nn","14","0.036","13096.654","6933.547",NA,"91.7"
"nn","15","0.033","13142.614","6556.921",NA,"91.1"
"nn","16","0.038","13064.871","7031.878",NA,"91.8"
"nn","17","0.034","12611.271","5994.71",NA,"91.2"
"nn","18","0.037","12983.53","6476.446",NA,"90.7"
"nn","19","0.126","13023.173","6380.155",NA,"92"
"nn","20","0.033","12964.223","6827.465",NA,"91.8"
"nn","AVG","0.063","13122.866","6575.023",NA,"91.18"
"nn","STD","0.043","259.544","335.469",NA,"0.581"
