"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.306","25784.185","12207.248",NA,"90.95"
"nn","2","0.211","26038.378","12352.134",NA,"90.95"
"nn","3","0.201","25952.39","13004.715",NA,"91.55"
"nn","4","0.112","25611.375","11634.051",NA,"91.6"
"nn","5","0.116","25669.409","11951.074",NA,"91.2"
"nn","6","0.213","26217.796","13862.011",NA,"91.15"
"nn","7","0.127","26800.217","13976.988",NA,"90.8"
"nn","8","0.21","25978.971","13864.87",NA,"91.4"
"nn","9","0.116","25649.756","13278.266",NA,"90.7"
"nn","10","0.204","25992.656","13548.875",NA,"90.85"
"nn","11","0.126","26088.321","11940.7",NA,"91.4"
"nn","12","0.115","25870.043","13000.597",NA,"90.7"
"nn","13","0.124","26513.749","13500.854",NA,"90.5"
"nn","14","0.121","26688.46","14324.754",NA,"91"
"nn","15","0.21","25427.663","12352.77",NA,"90.95"
"nn","16","0.207","26133.464","13047.361",NA,"91.6"
"nn","17","0.127","26180.051","12316.075",NA,"91.5"
"nn","18","0.211","25941.485","13747.76",NA,"90.95"
"nn","19","0.206","25705.469","13231.507",NA,"90.9"
"nn","20","0.117","26428.237","13063.665",NA,"90.15"
"nn","AVG","0.169","26033.604","13010.314",NA,"91.04"
"nn","STD","0.055","363.678","776.973",NA,"0.388"
