"Algo","ResultId","Time(sec)","TourCost","AWDfromVTX1","MinAWD","DelEdgeP"
"nn","1","0.542","36193.448","17450.566",NA,"90.933"
"nn","2","0.36","36068.515","18971.378",NA,"91.167"
"nn","3","0.349","36197.506","17167.658",NA,"91.1"
"nn","4","0.359","35935.474","16862.015",NA,"90.767"
"nn","5","0.36","36700.884","17179.734",NA,"90.633"
"nn","6","0.358","36327.315","18830.65",NA,"90.867"
"nn","7","0.371","36413.112","17907.6",NA,"90.133"
"nn","8","0.295","36801.844","17882.881",NA,"90.967"
"nn","9","0.366","36558.031","18877.378",NA,"91.067"
"nn","10","0.363","36652.718","19150.284",NA,"90.633"
"nn","11","0.372","36432.467","17478.543",NA,"90.867"
"nn","12","0.376","36270.139","19074.387",NA,"90.8"
"nn","13","0.366","36236.783","18677.455",NA,"91.267"
"nn","14","0.364","35910.615","18505.174",NA,"91.2"
"nn","15","0.284","36601.915","19001.837",NA,"90.6"
"nn","16","0.364","36355.181","18572.334",NA,"91.333"
"nn","17","0.362","35989.99","18810.784",NA,"91.033"
"nn","18","0.357","36596.166","19257.238",NA,"91.267"
"nn","19","0.265","37070.06","19489.321",NA,"90.133"
"nn","20","0.37","36614.277","17648.55",NA,"90.667"
"nn","AVG","0.36","36396.322","18339.788",NA,"90.872"
"nn","STD","0.053","306.396","809.593",NA,"0.339"
